"department_id";"department_name";"faculty_faculty_id"
"0984ecae-a037-42f6-bd0f-19be989e27eb";"Public Administration & Governance";"f19b270f-02be-4547-b3e7-af624112ecb7"
"0faebd4e-4e2d-4f92-b16c-1546daeb90ed";"Entrepreneurship and Business Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"11a820fe-fc21-489b-b84b-1b64a592b067";"Architectural Technology and Interior Design";"088f3d34-3323-49f7-a15c-6e677839f047"
"15671ee8-0cdc-49be-a3c3-e690ee0363f2";"Marketing";"f19b270f-02be-4547-b3e7-af624112ecb7"
"179e5fc3-0db5-4b6c-8d7f-bf65ae803179";"Mechanical and Mechatronic Engineering";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"2402a1e5-1855-4629-84ea-101e4ecf0009";"Tourism and Events Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"27c075cd-e2f9-4eee-8da7-9fa82351c584";"Agriculture";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"2dfe4810-cb8f-41ec-9384-13a0042fbd5c";"Clothing & Textile Technology";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"2eba6873-523f-4de0-b8db-0932a93e62e3";"Cape Town Hotel school (Hospitality Management)";"f19b270f-02be-4547-b3e7-af624112ecb7"
"303a6fd4-2ab5-47a8-ae8d-63bf392cd8c5";"Department of Teacher Professional Development";"316a2987-0cb1-40d8-8f20-ad9f82baef46"
"3163ceb2-8c26-4abd-9e39-1193585c6ecd";"Department for Intermediate Phase Studies";"316a2987-0cb1-40d8-8f20-ad9f82baef46"
"3337ca92-cf61-49f9-b9f9-c6cd88e04f01";"Maritime Studies";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"36da33fd-137e-4768-ac62-89d04b9bb5ad";"Financial Information Systems & Internal Auditing";"f19b270f-02be-4547-b3e7-af624112ecb7"
"42cb5367-86d0-49f8-8203-3e9b66cab037";"Dental Sciences";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"4d851f91-b69e-434a-ab87-81888bcdc735";"Biotechnology and Consumer Science (with programmes in Biotechnology, and Consumer Science: Food and Nutrition)";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"57c3dfa1-401c-4f50-a997-2c81cd8dc4bd";"Industrial & Systems Engineering";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"5f3e1fe5-218d-4469-90d4-ad484862abd8";"Unit for Applied Economics (including Real Estate Studies)";"f19b270f-02be-4547-b3e7-af624112ecb7"
"61965257-e24b-4e7d-8094-a14b2af0b336";"Graduate Centre for Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"6f36a4a4-a415-42bb-9c06-24d6feb9c7b8";"Environmental and Occupational Studies";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"7018bb26-9938-49cf-b50a-ee6e9f074271";"Business and Information Administration";"f19b270f-02be-4547-b3e7-af624112ecb7"
"73e397a2-aebf-4709-90e7-3bca3c8a186a";"WArchitectural Technology and Interior Design ";"088f3d34-3323-49f7-a15c-6e677839f047"
"7b44af4b-3eee-4d14-aeff-711bcc2d9997";"Mathematics and Physics";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"7dd63c66-118b-4600-9736-e76885da9934";"Chemistry";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"85c7a454-15a1-4af4-b20c-f68d38f51f0b";"Operations Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"86c53d7c-b0f5-4939-b93b-5791470e519d";"Sport Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"8a10eaa9-e025-4861-960d-9225c3b0425c";"Electrical, Electronic and Computer Engineering";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"8ff46b28-1fd7-44cf-b55a-0f00c1d8fac8";"Applied Design ";"088f3d34-3323-49f7-a15c-6e677839f047"
"9de0adc6-48f1-443e-8ddb-0314ca47c023";"Human Resources";"f19b270f-02be-4547-b3e7-af624112ecb7"
"9f4499eb-5fa9-4575-adf5-7804572d711e";"Information Technology ";"088f3d34-3323-49f7-a15c-6e677839f047"
"a54f52c2-2659-4955-b4ac-52d52f14658e";"Retail Business Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
"aaf5307e-65de-421d-9f68-a4c6d82072d6";"Financial Accounting and Taxation";"f19b270f-02be-4547-b3e7-af624112ecb7"
"b23f8582-2e2d-456f-befa-930779118fcb";"Construction Management and Quantity Surveying";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"ba3bd399-b600-4901-9853-446249c62086";"Applied Legal Studies (formerly known as the Unit for Applied Law)";"f19b270f-02be-4547-b3e7-af624112ecb7"
"badba721-5e35-4721-95ed-d0fff2e8a406";"Cost and Management Accounting";"f19b270f-02be-4547-b3e7-af624112ecb7"
"bcd2d0bb-8901-46fb-843d-5565ab8c34a4";"Civil Engineering & Geomatics";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"bcff94b7-810b-40c1-aeab-c748df4ed8ad";"Department of Senior  and Further Education & Training Phase";"316a2987-0cb1-40d8-8f20-ad9f82baef46"
"cdadbc34-a03b-4f8c-81ce-fb1fe2e4470f";"Wellness Sciences";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"cecacb63-51ec-48dc-b2a2-bfde99e7965a";"Department of Research and Postgraduate Studies.";"316a2987-0cb1-40d8-8f20-ad9f82baef46"
"d3e4611f-1466-440e-a4f1-f560101057b4";"Nursing";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"d533fb20-9763-4058-9f74-6e20c511b987";"Emergency Medical Sciences";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"d538feba-4518-4cd0-9fa0-1b27e37661ab";"Medical Imaging and Therapeutic Sciences (previously Radiography)";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"ddbfdfcf-2073-46dd-8765-7a6b4c3bdd1d";"Mechanical and Mechatronic Engineering";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"de40b90d-6cbd-4462-9646-ddf18988fd0a";"Department for Foundation Phase Studies";"316a2987-0cb1-40d8-8f20-ad9f82baef46"
"ea00d398-1623-4ab3-8a92-d4accf503ce0";"Media ";"088f3d34-3323-49f7-a15c-6e677839f047"
"eb5fa410-21ea-4fb4-ad78-af8f9f67eb0c";"Chemical Engineering";"f38ebc97-86ef-4d78-8bbd-087820ccd743"
"f0470fcb-8ebd-45b7-b863-0653a918fa2d";"Ophthalmic Sciences";"421bc5ec-b90c-41e4-a657-8fc937927bcb"
"f7b4583f-35e5-4ca3-91ee-f35f7fa340c0";"Conservation and Marine Sciences";"1fd229b1-885c-41e7-9539-0dc33ee94865"
"fbe02114-99dd-429e-929a-63b267a48aa2";"Management and Project Management";"f19b270f-02be-4547-b3e7-af624112ecb7"
